"primary_keyword","position","location","salary_min","experience_years","english_level","employment","pokes"
QA Automation,Senior QA Automation,Киев,3500,5,upper,fulltime remote freelance,68
QA Automation,Senior Automation QA Engineer,Киев,3200,7,upper,fulltime,21
QA Automation,QA Automation/QA lead/Senior QA,Remote only,1500,6,upper,remote freelance,15
QA Automation,Senior QA Automation Engineer/ SDET,Харьков,3000,5,upper,fulltime,15
QA Automation,Senior QA Automation Engineer,Киев,2700,4,upper,freelance relocate,4
QA Automation,Senior Test Automation Engineer,Киев,3200,15,fluent,fulltime,37
QA Automation,Senior Automation QA Engineer (Java, JavaScript),Киев,2500,6,intermediate,fulltime,55
QA Automation,Senior Automation Engineer,Киев,3500,7,upper,fulltime remote relocate,43
QA Automation,Senior QA Automation Engineer,Харьков,3500,4,upper,fulltime,21
QA Automation,Senior QA Engineer,Запорожье,1600,5,intermediate,fulltime remote,6
QA Automation,Senior/Lead Automation QA Engineer,Киев,5000,15,fluent,remote,2
QA Automation,Senior QA Engineer, Scrum Master,Киев,3000,10,upper,fulltime remote,24
QA Automation,Senior Automation QA Engineer / TeamLead REMOTE ONLY,Remote,2000,15,upper,remote freelance,5
QA Automation,Senior Automation Engineer,Киев,3750,6,fluent,fulltime remote freelance,77
QA Automation,Senior QA Engineer,Киев,3500,6,upper,fulltime,24
QA Automation,Senior Automation QA Engineer,Харьков,5000,4,upper,fulltime remote,6
QA Automation,Senior QA Automation Engineer,Киев,3000,4,intermediate,fulltime remote,15
QA Automation,Senior QA Automation Engineer,Киев,3200,3,upper,fulltime remote,37
QA Automation,Senior .Net Autmation Engeneer,Киев,3300,3,upper,fulltime remote,19
QA Automation,Automation QA Engineer, software tester, test, junior, tranee, senior QA, middle QA.,Харьков,800,15,upper,fulltime relocate,135
QA Automation,Senior QA Automation Engineer,,2500,6,upper,remote,2
QA Automation,Senior Test Automation Engineer,Львов,3800,4,upper,fulltime freelance,5
QA Automation,Senior QA Engineer / QA Lead,Киев, EU, Amsterdam, Berlin,3000,3,intermediate,fulltime remote relocate,10
QA Automation,Lead/Senior QA Automation Engineer,Киев, Berlin, USA, EU,4200,6,upper,fulltime remote relocate,14
QA Automation,Mid-Senior Automation QA,Харьков,2700,4,intermediate,fulltime remote,16
QA Automation,Senior Automation QA Engineer,Киев,4000,6,upper,fulltime remote,35
QA Automation,Senior/Lead QA Automation,Киев,4000,8,fluent,remote,1
QA Automation,Senior Test Automation/Manual Test Engineer (part time job),Киев,1500,15,upper,remote freelance,2
QA Automation,Senior QA Engineer vs Automation Engineer,Киев,2800,8,intermediate,fulltime remote,11
QA Automation,Senior Automation Test Engineer,Киев,3000,7,intermediate,fulltime remote,29
QA Automation,Middle QA Automation\Senior Manual QA,Киев, Berlin, Amsterdam, EU, USA,3000,2.500000,upper,fulltime relocate,15
QA,Senior QA Engineer (Lead),Kyiv, Poland, Canada,3000,8,upper,fulltime relocate,32
QA,Senior  QA Engineer,Львов,1800,15,intermediate,fulltime remote,1
QA,Senior QA Engineer, Team Lead,Львов, Lviv, remote,2700,9,fluent,fulltime remote,6
QA,Senior QA Engineer (manual),Киев,2500,5,fluent,fulltime remote freelance relocate,1
QA,Senior QA Engineer/QA Lead,Kharkiv,2500,15,upper,fulltime,28
QA,Senior QA Engineer,Киев,3000,5,upper,fulltime remote move relocate,1
QA,Senior/Lead Mobile QA Engineer,Киев,3200,6,intermediate,fulltime remote freelance move relocate,15
QA,Senior QA Engineer,remote,2500,5,upper,remote freelance,12
QA,Senior QA Engineer,,2500,4,upper,remote freelance,1
QA,Senior QA Engineer,Житомир, Киев,1200,9,intermediate,fulltime remote freelance move relocate,21
QA,Senior QA Engineer,Киев,3000,5,fluent,fulltime relocate,1
QA,Senior QA Engineer,,2000,9,fluent,remote freelance,1
QA,Senior QA Engineer,Киев,3000,6,intermediate,fulltime remote freelance,7
QA,Middle QA/Senior QA Engineer,Киев,1700,7,upper,fulltime remote,108
QA,Senior/Lead QA Engineer (Part time),Киев,3000,8,intermediate,remote freelance,1
QA,Senior QA Engineer,Харьков,2000,9,upper,fulltime,18
QA,QA Lead / Senior QA,Киев,4000,6,fluent,fulltime remote freelance,10
QA,Senior QA Engineer / QA Analyst,Київ,3000,6,upper,fulltime remote,6
QA,Senior QA Engineer,Киев, Kyiv, EU, USA, Canada,2250,5,fluent,fulltime remote relocate,5
QA,Senior QA Engineer,Kyiv,2000,4,upper,fulltime remote,37
QA,Senior\Lead QA Engineer,Kharkov,3000,5,upper,fulltime remote relocate,1
QA,Senior QA Engineer,Харьков,2200,9,pre,fulltime,1
QA,MIddle/Senior QA,Львов,1300,10,pre,fulltime,21
QA,Senior Manual QA Engineer,Киев,2500,9,intermediate,fulltime remote freelance,1
QA,Senior QA Engineer,Киев,500,5,intermediate,remote,96
QA,Middle+ / Senior QA Engineer,Kyiv,1750,5,intermediate,fulltime remote,52
QA,Senior QA Engineer,Киев,1800,2.500000,pre,fulltime,1
QA,Senior QA Engineer, QA Lead,Харьков,2500,5,intermediate,fulltime relocate,1
QA,Senior QA Engineer,Киев,3300,9,upper,fulltime remote freelance,10
QA,Senior Software Testing Engineer,Киев,2350,5,intermediate,fulltime,10
QA,Senior QA Engineer (General),Харьков,2400,5,upper,fulltime,39
QA,QA lead/Senior QA engineer,Киев,3200,6,intermediate,fulltime remote,1
QA,Senior QA Engineer,Киев,3000,6,upper,relocate,5
QA,Senior QA / QA Team Lead,Киев, Львов,3200,15,intermediate,fulltime remote freelance move relocate,1
QA,Senior QA Engineer,Харьков,2000,4,fluent,fulltime remote move relocate,1
QA,Senior QA Engineer,Львов,1800,5,intermediate,fulltime,8
QA,Senior QA Engineer,Харьков,2400,5,intermediate,fulltime,55
QA,Senior QA Engineer/ Test Lead,Киев,2800,6,upper,fulltime remote freelance relocate,77
QA,QA Lead / Senior QA Engineer,Киев, Одесса,4000,6,upper,fulltime move,9
QA,Senior QA Engineer,Киев,3000,8,upper,fulltime remote freelance relocate,7
QA,Senior QA Engineer/QA Lead,Киев,2500,4,intermediate,fulltime remote move relocate,1
QA,Senior QA Engineer(remote or Part time at office),Киев,2000,5,fluent,remote freelance,1
QA,Senior QA Engineer / QA Lead,Киев,2800,7,upper,fulltime,14
QA,Senior/Lead QA Engineer,Харьков,2500,8,upper,fulltime remote,14
